Node	Degree	Clustering coefficient	Eccentricity	Average neighbor degree	Degree centrality	Closeness centrality	Betweenness centrality	Harmonic centrality	Load centrality	Subgraph centrality	Mean centrality rank	Module number (greedy modularity)	Z-score (greedy modularity)	P-score (greedy modularity)	Module number (label propagation)	Z-score (label propagation)	P-score (label propagation)
OTU_185	11	0.654545	9	10.5455	0.0388693	0.164059	0.000815371	59.1687	0.000816877	1375.06	256	0	1.0184	0	3	1.25568	0
OTU_18617	3	1	3	11.6667	0.0106007	0.0362396	0	11.3333	0	53.504	119	3	-0.687343	0	2	-0.687343	0
OTU_18671	5	0.1	7	6.2	0.0176678	0.172041	0.0218529	57.2452	0.0219805	12.6469	252	1	-0.111056	0.56	1	-0.225015	0.56
OTU_18685	1	0	9	13	0.00353357	0.167955	0	53.0385	0	4.61964	127	2	-0.743877	0	11	-0.57735	0
OTU_187	11	0.290909	8	7.18182	0.0388693	0.180113	0.0181924	63.8798	0.0180835	123.778	268	1	2.27373	0	1	1.85413	0.165289
OTU_188	2	1	4	9	0.00706714	0.0299674	0	9.75	0	16.5864	101	3	-0.939369	0	2	-0.939369	0
OTU_18800	1	0	9	7	0.00353357	0.122707	0	38.6206	0	1.99218	81	1	-0.707252	0	14	-0.57735	0
OTU_18890	1	0	12	4	0.00353357	0.0907252	0	28.8259	0	1.77201	52	5	-1.12022	0	6	-1.12022	0
OTU_189	9	0.5	10	12.5556	0.0318021	0.162275	0.00591515	59.8083	0.00594979	997.866	266	0	0.650167	0	3	0.291724	0.345679
OTU_19	2	1	1	2	0.00706714	0.00706714	0	2	0	2.70827	67	15	0	0	23	0	0
OTU_190	2	0	9	5	0.00706714	0.142637	0.00201283	46.1159	0.00274001	3.92455	183	1	-0.409154	0	27	-0.707107	0.5
OTU_19287	6	0.466667	10	13.6667	0.0212014	0.143859	0.00515488	53.9433	0.00525343	365.374	245	0	0.0978127	0	0	0.108082	0.277778
OTU_19459	2	0	8	11.5	0.00706714	0.169866	0.00486179	54.9298	0.00486179	8.04516	222	1	-0.409154	0	42	0	0.5
OTU_19652	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	22	20	0	0	31	0	0
OTU_1973	1	0	8	18	0.00353357	0.162865	0	51.9071	0	4.69009	123	2	-0.743877	0	5	-0.494889	0
OTU_19766	1	0	9	13	0.00353357	0.143245	0	46.1052	0	4.05894	106	1	-0.707252	0	1	-0.819056	0
OTU_2	3	0.666667	1	2.33333	0.0106007	0.0106007	1.25304e-05	3	1.25304e-05	4.24822	149	13	1	0	18	1	0
OTU_20178	1	0	4	9	0.00353357	0.0283328	0	8.83333	0	4.41632	55	3	-1.1914	0	2	-1.1914	0
OTU_202	10	0.311111	7	7	0.0353357	0.176562	0.0420075	61.2452	0.0417381	75.3061	271	2	1.68511	0.18	4	1.46385	0.34
OTU_2037	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	1	21	0	0	36	0	0
