Filename	Method	Submission	GS	AUPR, #1	AUPR, #3	AUPR, #4	AUROC, #1	AUROC, #3	AUROC, #4	PR score, #1	PR score, #3	PR score, #4	ROC score, #1	ROC score, #3	ROC score, #4	Score, #1	Score, #3	Score, #4	Final score
DREAM5_Bayesian1_net1_MI2_#72.txt	idirect	Bayesian1	old_gs	0.22335289	0.04318897	0.01963919	0.64156638	0.56682165	0.51236959	33.54618878	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.77322369	0.07481626	0.19315612	5.68039869	
DREAM5_Bayesian1_net1_MI2_#73.txt	idirect	Bayesian1	old_gs	0.22301591	0.04318897	0.01963919	0.64156169	0.56682165	0.51236959	33.28939345	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.64482602	0.07481626	0.19315612	5.63759947	
DREAM5_Bayesian1_net1_MI2_#74.txt	idirect	Bayesian1	old_gs	0.22385571	0.04318897	0.01963919	0.64157512	0.56682165	0.51236959	33.92560270	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.96293064	0.07481626	0.19315612	5.74363434	
DREAM5_Bayesian1_net1_MI2_#75.txt	idirect	Bayesian1	old_gs	0.22384038	0.04318897	0.01963919	0.64157013	0.56682165	0.51236959	33.91038561	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.95532210	0.07481626	0.19315612	5.74109816	
DREAM5_Bayesian1_net1_MI2_#76.txt	idirect	Bayesian1	old_gs	0.22315239	0.04318897	0.01963919	0.64156655	0.56682165	0.51236959	33.39501444	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.69763651	0.07481626	0.19315612	5.65520297	
DREAM5_Bayesian1_net1_MI2_#77.txt	idirect	Bayesian1	old_gs	0.22384001	0.04318897	0.01963919	0.64157689	0.56682165	0.51236959	33.91038561	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.95532210	0.07481626	0.19315612	5.74109816	
DREAM5_Bayesian1_net1_MI2_#78.txt	idirect	Bayesian1	old_gs	0.22346323	0.04318897	0.01963919	0.64156812	0.56682165	0.51236959	33.62947869	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.81486864	0.07481626	0.19315612	5.69428034	
DREAM5_Bayesian1_net1_MI2_#79.txt	idirect	Bayesian1	old_gs	0.22266132	0.04318897	0.01963919	0.64155950	0.56682165	0.51236959	33.02606546	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.51316202	0.07481626	0.19315612	5.59371147	
DREAM5_Bayesian1_net1_MI2_#8.txt	idirect	Bayesian1	old_gs	0.22394697	0.04318897	0.01963919	0.64157617	0.56682165	0.51236959	33.99412141	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.99719000	0.07481626	0.19315612	5.75505413	
DREAM5_Bayesian1_net1_MI2_#80.txt	idirect	Bayesian1	old_gs	0.22415930	0.04318897	0.01963919	0.64157888	0.56682165	0.51236959	34.15426436	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.07726147	0.07481626	0.19315612	5.78174462	
DREAM5_Bayesian1_net1_MI2_#81.txt	idirect	Bayesian1	old_gs	0.22309662	0.04318897	0.01963919	0.64157282	0.56682165	0.51236959	33.34972803	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.67499331	0.07481626	0.19315612	5.64765523	
DREAM5_Bayesian1_net1_MI2_#82.txt	idirect	Bayesian1	old_gs	0.22303796	0.04318897	0.01963919	0.64155907	0.56682165	0.51236959	33.30447203	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.65236531	0.07481626	0.19315612	5.64011256	
DREAM5_Bayesian1_net1_MI2_#83.txt	idirect	Bayesian1	old_gs	0.22344139	0.04318897	0.01963919	0.64156586	0.56682165	0.51236959	33.61432747	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.80729303	0.07481626	0.19315612	5.69175514	
DREAM5_Bayesian1_net1_MI2_#84.txt	idirect	Bayesian1	old_gs	0.22461455	0.04318897	0.01963919	0.64157825	0.56682165	0.51236959	34.50635458	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.25330658	0.07481626	0.19315612	5.84042632	
DREAM5_Bayesian1_net1_MI2_#85.txt	idirect	Bayesian1	old_gs	0.22405080	0.04318897	0.01963919	0.64157813	0.56682165	0.51236959	34.07795938	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.03910898	0.07481626	0.19315612	5.76902712	
DREAM5_Bayesian1_net1_MI2_#86.txt	idirect	Bayesian1	old_gs	0.22408561	0.04318897	0.01963919	0.64157606	0.56682165	0.51236959	34.10084201	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.05055030	0.07481626	0.19315612	5.77284089	
DREAM5_Bayesian1_net1_MI2_#87.txt	idirect	Bayesian1	old_gs	0.22338613	0.04318897	0.01963919	0.64157293	0.56682165	0.51236959	33.56889408	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.78457633	0.07481626	0.19315612	5.68418290	
DREAM5_Bayesian1_net1_MI2_#88.txt	idirect	Bayesian1	old_gs	0.22385820	0.04318897	0.01963919	0.64158058	0.56682165	0.51236959	33.92560270	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.96293064	0.07481626	0.19315612	5.74363434	
DREAM5_Bayesian1_net1_MI2_#89.txt	idirect	Bayesian1	old_gs	0.22281526	0.04318897	0.01963919	0.64156443	0.56682165	0.51236959	33.13879357	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.56952608	0.07481626	0.19315612	5.61249949	
DREAM5_Bayesian1_net1_MI2_#9.txt	idirect	Bayesian1	old_gs	0.22362521	0.04318897	0.01963919	0.64156647	0.56682165	0.51236959	33.75081008	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.87553433	0.07481626	0.19315612	5.71450224	
DREAM5_Bayesian1_net1_MI2_#90.txt	idirect	Bayesian1	old_gs	0.22349692	0.04318897	0.01963919	0.64156688	0.56682165	0.51236959	33.65221186	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.82623522	0.07481626	0.19315612	5.69806920	
DREAM5_Bayesian1_net1_MI2_#91.txt	idirect	Bayesian1	old_gs	0.22339125	0.04318897	0.01963919	0.64157405	0.56682165	0.51236959	33.57646420	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.78836139	0.07481626	0.19315612	5.68544459	
DREAM5_Bayesian1_net1_MI2_#92.txt	idirect	Bayesian1	old_gs	0.22332554	0.04318897	0.01963919	0.64156802	0.56682165	0.51236959	33.52349109	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.76187484	0.07481626	0.19315612	5.67661574	
DREAM5_Bayesian1_net1_MI2_#93.txt	idirect	Bayesian1	old_gs	0.22301332	0.04318897	0.01963919	0.64157001	0.56682165	0.51236959	33.28939345	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.64482602	0.07481626	0.19315612	5.63759947	
