,Proportion.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
329,0.45,0.399929577,0.023856154,0.002385615,weighted,Yes,control_spearman
330,0.5,0.346126761,0.024274141,0.002427414,weighted,Yes,control_spearman
331,0.55,0.296161972,0.018209827,0.001820983,weighted,Yes,control_spearman
332,0.6,0.250246479,0.023714387,0.002371439,weighted,Yes,control_spearman
333,0.65,0.202570423,0.021765922,0.002176592,weighted,Yes,control_spearman
334,0.7,0.155739437,0.019867224,0.001986722,weighted,Yes,control_spearman
335,0.75,0.117711268,0.02101535,0.002101535,weighted,Yes,control_spearman
336,0.8,0.082922535,0.018768503,0.00187685,weighted,Yes,control_spearman
337,0.85,0.05165493,0.014462275,0.001446227,weighted,Yes,control_spearman
338,0.9,0.024753521,0.010371412,0.001037141,weighted,Yes,control_spearman
339,0.95,0.006408451,0.007259075,0.000725908,weighted,Yes,control_spearman
340,1,0,0,0,weighted,Yes,control_spearman
341,0.05,0.87693662,0.009824735,0.000982473,unweighted,Yes,control_spearman
342,0.1,0.81556338,0.014029091,0.001402909,unweighted,Yes,control_spearman
343,0.15,0.748098592,0.017296475,0.001729647,unweighted,Yes,control_spearman
344,0.2,0.687640845,0.018734575,0.001873458,unweighted,Yes,control_spearman
345,0.25,0.629894366,0.017292673,0.001729267,unweighted,Yes,control_spearman
346,0.3,0.57278169,0.017891792,0.001789179,unweighted,Yes,control_spearman
347,0.35,0.514577465,0.019975133,0.001997513,unweighted,Yes,control_spearman
348,0.4,0.457253521,0.022615649,0.002261565,unweighted,Yes,control_spearman
